id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
nk-180925015500,naukri,General Manager Marketing - Industrial Products,Jindal Aluminium,Bengaluru,https://www.naukri.com/job-listings-general-manager-marketing-industrial-products-jindal-aluminium-bengaluru-15-to-20-years-180925015500,2026-05-20,15-20 Yrs,false,,,,,Role & responsibilities  The General Manager Marketing (Industrial Products) will be re...
nk-030226006313,naukri,Product Marketing Leader (Digital Banking),Intellect Design Arena,Mumbai,https://www.naukri.com/job-listings-product-marketing-leader-digital-banking-intellect-design-arena-mumbai-10-to-16-years-030226006313,2026-05-11,10-16 Yrs,false,,,,,"10-15 years of experience in Product Marketing / Field Marketing within Banking, BankTe..."
nk-190526039490,naukri,Product Marketing manager,Dash Ast Technology,Hyderabad,https://www.naukri.com/job-listings-product-marketing-manager-dash-ast-technology-hyderabad-4-to-9-years-190526039490,2026-05-20,4-9 Yrs,false,,,,,"Experience leading cross-functional launches end-to-end Open-source / open-core, self-h..."
nk-180526503296,naukri,Product Marketing Manager,Mage Data,Bengaluru,https://www.naukri.com/job-listings-product-marketing-manager-mage-data-bengaluru-3-to-5-years-180526503296,2026-05-18,3-5 Yrs,false,,,,,Tool Proficiency: Hands-on familiarity with Salesforce / HubSpot or similar sales and m...
nk-200526501104,naukri,Product Marketing Manager,Adsparx,Gurugram,https://www.naukri.com/job-listings-product-marketing-manager-adsparx-gurugram-5-to-7-years-200526501104,2026-05-20,5-7 Yrs,false,,,,,Manage and optimize the companys website to improve user experience and conversion rate...
nk-120526500914,naukri,Product Marketing Manager,Mage Data,Kalburagi,https://www.naukri.com/job-listings-product-marketing-manager-mage-data-kalburagi-3-to-5-years-120526500914,2026-05-18,3-5 Yrs,false,,,,,Tool Proficiency: Hands-on familiarity with Salesforce / HubSpot or similar sales and m...
nk-180526924760,naukri,Senior Manager - B2B Product Marketing,Optum,Gurugram,https://www.naukri.com/job-listings-senior-manager-b2b-product-marketing-optum-global-solutions-india-private-limited-gurugram-10-to-15-years-180526924760,2026-05-18,10-15 Yrs,false,,,,,"Primary Responsibilities:Product Positioning and Messaging:Develop and maintain clear, ..."
nk-190526024483,naukri,Senior Product Marketing Manager,JioSaavn,Navi Mumbai,https://www.naukri.com/job-listings-senior-product-marketing-manager-jiosaavn-navi-mumbai-7-to-10-years-190526024483,2026-05-19,7-10 Yrs,false,,,,,"You will work closely with Product, Growth, Analytics, Design, Business, and Leadership..."
nk-200526501228,naukri,Product Marketing Manager,IT By Design,Noida,https://www.naukri.com/job-listings-product-marketing-manager-it-by-design-noida-7-to-10-years-200526501228,2026-05-20,7-10 Yrs,false,,,,,Proven experience in product marketing or a related field. . Strong understanding of ma...
nk-200526031044,naukri,Product Marketing Manager,Finarb Analytics Consulting,"Kolkata, Hyderabad, Bengaluru",https://www.naukri.com/job-listings-product-marketing-manager-finarb-analytics-consulting-kolkata-hyderabad-bengaluru-3-to-6-years-200526031044,2026-05-20,3-6 Yrs,false,,,,,Experience in B2B and / or B2C product marketingThe ideal candidate should have strong ...
nk-180526500557,naukri,Product Marketing Manager,Mage Data,Chennai,https://www.naukri.com/job-listings-product-marketing-manager-mage-data-chennai-3-to-5-years-180526500557,2026-05-18,3-5 Yrs,false,,,,,Tool Proficiency: Hands-on familiarity with Salesforce / HubSpot or similar sales and m...
nk-210526504239,naukri,Product Marketing Manager IT/SaaS,Kretoss Technology,Ahmedabad,https://www.naukri.com/job-listings-product-marketing-manager-it-saas-kretoss-technology-ahmedabad-2-to-3-years-210526504239,2026-05-21,2-3 Yrs,false,,,,,"Hands-on experience with freelance platforms such as Upwork, Fiverr, and PeoplePerHour,..."
nk-210526501273,naukri,Product Marketing Manager,Attero Recycling,Bengaluru,https://www.naukri.com/job-listings-product-marketing-manager-attero-bengaluru-3-to-7-years-210526501273,2026-05-21,3-7 Yrs,false,,,,,Proven experience in product marketing or a related field. . Strong understanding of ma...
nk-210526508119,naukri,Manager- Product Marketing,Sportz Interactive,Goregaon,https://www.naukri.com/job-listings-manager-product-marketing-n-a-sportz-interactive-private-limited-goregaon-5-to-10-years-210526508119,2026-05-21,5-10 Yrs,false,,,,,Job Title : Manager- Product Marketing          About SI:    We are Asias premier spo...
nk-210526501235,naukri,Product Marketing Manager,Ec-council,Noida,https://www.naukri.com/job-listings-product-marketing-manager-ec-council-noida-5-to-10-years-210526501235,2026-05-21,5-10 Yrs,false,,,,,Proven experience in product marketing or a related field. . Strong understanding of ma...
nk-220526013943,naukri,Product Marketing Manager,eG Innovations,Chennai,https://www.naukri.com/job-listings-product-marketing-manager-eg-innovations-chennai-4-to-8-years-220526013943,2026-05-22,4-8 Yrs,false,,,,,A buyer comparing eG against Datadog or Nexthink should land on a page that meets them ...
nk-210526501403,naukri,Product Marketing Manager,Ginesys,Bengaluru,https://www.naukri.com/job-listings-product-marketing-manager-ginni-systems-limited-bengaluru-5-to-10-years-210526501403,2026-05-21,5-10 Yrs,false,,,,,"Excellent communication, project management, and analytical skills. . Ability to work i..."
nk-250526502899,naukri,AI Product Marketing Manager,McFadyen Solution,Thiruvananthapuram,https://www.naukri.com/job-listings-ai-product-marketing-manager-mcfadyen-solution-thiruvananthapuram-5-to-10-years-250526502899,2026-05-25,5-10 Yrs,false,,,,,We re seeking an AI Product Marketing Specialist who will lead the product requirement...
nk-220526503283,naukri,AI Product Marketing Manager,McFadyen Solution,Bengaluru,https://www.naukri.com/job-listings-ai-product-marketing-manager-mcfadyen-solution-bengaluru-5-to-10-years-220526503283,2026-05-22,5-10 Yrs,false,,,,,"Exposure to email marketing, CRM / automation tools, or analytics is preferred . Other ..."
